dt_pregao,AGCX11,ALZR11,BBPO11,BCFF11,BCFF11B,BRCO11,BRCR11,BRCR11B,BTCI11,BTHF11,BTLG11,CLIN11,CPSH11,CPTS11,CPTS11B,CSBC11,CVBI11,DEVA11,FEXC11,FEXC11B,FRBR11,GALG11,GARE11,GGRC11,GTWR11,HABT11,HCTR11,HFOF11,HGBS11,HGCR11,HGLG11,HGRE11,HGRU11,HSML11,IRDM11,ITRI11,JSAF11,JSRE11,KISU11,KNCR11,KNHF11,KNHY11,KNIP11,KNRI11,KNSC11,KNUQ11,KORE11,LVBI11,MALL11,MCCI11,MCHY11,MCRE11,MGFF11,MXRF11,PMLL11,PVBI11,RBRF11,RBRP11,RBRR11,RBRY11,RBVA11,RECR11,RECT11,RZAK11,RZTR11,SAAG11,SARE11,SDIL11,TBOF11,TGAR11,TGAR11B,TRBL11,TRXF11,TRXL11,TVRI11,UBSR11,URPR11,VCJR11,VGHF11,VGIP11,VGIR11,VILG11,VINO11,VISC11,VRTA11,XPCI11,XPIN11,XPLG11,XPML11
2024-04-10,6.19428734756,10.2616178047,75.5260678801,7.90265266431,78.91,105.93879174,45.3112721445,152.5,8.58938571667,,93.4076316215,80.7967167265,9.01440124621,7.22842235558,103.99,32.3746411932,80.3299436651,35.7288322963,6.51405712407,106.2,50.1200038667,7.54147097996,7.70311500136,9.73893677981,69.8179937833,74.2748361396,25.943581576,6.64076252802,19.9342150722,88.2558357085,149.144552704,111.592528958,116.73779011,84.8762307929,64.6231693636,86.4754587547,8.34933747633,64.0247349042,7.18258574219,86.5779971294,86.2377380185,88.3619179227,82.8526588248,145.487467237,7.70313823374,85.0078832425,85.9827339336,103.721892095,101.930787986,79.0625599616,8.06914058507,8.06914058507,65.729513654,8.82167155078,101.930787986,90.3996140092,6.99619563329,50.355532841,78.0775484779,83.2143703068,9.46051613748,72.2486383604,33.4751427072,70.2214312148,81.5909138927,106.61,4.35071822884,77.0044565461,50.822533822,104.207212279,120.47,85.5369799615,93.5404477462,64.2769217222,86.4709498295,51.7196298655,70.6039519908,78.2006325829,7.54578997432,76.80086712,8.15058157427,84.2380351671,6.84450292039,107.256186491,74.9204407482,74.1049797399,68.6157931667,95.2922620746,100.399011101
2024-04-11,6.19428734756,10.2844506728,75.5260678801,7.91135602628,78.91,105.973640027,44.8004905313,152.5,8.63981263869,,93.1628572944,80.8800982711,9.07309967293,7.21073247451,103.99,32.3746411932,79.9796313783,35.7849970899,6.51405712407,106.2,50.1200038667,7.54147097996,7.7115799629,9.70491429325,70.1421487544,74.8629123911,26.0767059004,6.63649742685,19.8993954826,88.1717825317,148.966989096,111.557934668,116.67696655,84.7291166082,64.639792687,87.3077701825,8.44027085478,64.0598217571,7.18258574219,86.6115544926,85.8007082576,88.5927355085,82.6918456143,145.682895511,7.69475614643,84.958388114,85.5197861966,103.800595158,101.834931042,78.9774549455,8.04473794217,8.04473794217,65.729513654,8.82167155078,101.834931042,90.2926216659,6.96194253349,50.9074906208,78.4079189228,83.0383173372,9.44872628293,72.6806304445,33.2608226603,70.2135420528,80.6778924758,106.61,4.39096877595,77.0044565461,50.822533822,104.182432504,120.47,85.836509156,93.406183176,64.2769217222,87.1128338685,51.7196298655,70.4988504935,78.1841744891,7.52927839888,77.2327059057,8.14229846291,84.6140978241,6.81915290957,107.089911397,74.7945381478,74.1881970108,68.3024403714,94.9612349278,100.226652284
2024-04-12,6.19428734756,10.3388982811,75.5260678801,7.92876275021,78.91,105.851671023,45.4760404069,152.5,8.61459917768,,93.4513413228,81.0802139782,9.05632869386,7.18546121584,103.99,32.3746411932,80.2965805902,35.776973548,6.51405712407,106.2,50.1200038667,7.54147097996,7.72004492444,9.73043115817,71.0647436723,75.1287550801,26.1628451692,6.63479138638,19.9759985798,88.5836430983,148.709521864,111.566583241,117.285202152,84.6252713013,64.7062859802,86.7132620198,8.5146708917,64.428233713,7.18258574219,86.7457839455,86.0276275565,88.7823356682,82.7595564398,146.215881714,7.66122779721,84.9336405498,85.8650353564,104.185365687,102.139930408,79.8965891195,8.15861694236,8.15861694236,65.729513654,8.84697271202,102.139930408,90.560102524,6.95337925854,50.9499489116,78.6789921084,83.4155737006,9.51441261538,72.6398764743,33.2360934241,70.4502169136,81.333607857,106.61,4.44585588565,77.0044565461,50.822533822,104.042013781,120.47,86.6751909005,93.3306593552,64.2769217222,87.171186963,51.7196298655,70.4988504935,78.8918725215,7.58706891291,77.4071023384,8.1257322402,85.8822160861,6.87830293481,107.028652152,75.4156576431,74.5127443673,68.1330604821,94.5866515775,99.9853499397
2024-04-15,6.19428734756,10.3134308514,75.5260678801,7.91135602628,78.91,105.842958952,46.2207262571,152.5,8.63140815168,,93.1715992346,81.3053441486,9.04794320433,7.19388496873,103.99,32.3746411932,79.2373029611,35.9454679289,6.51405712407,106.2,50.1200038667,7.54147097996,7.73697484752,9.70491429325,70.3166937389,75.1287550801,25.9592432612,6.58446319253,19.8053825905,87.9280283187,146.703053091,111.393611794,116.364159669,84.7291166082,64.5816110554,87.0529809699,8.34520414095,64.1212237497,7.20811626023,86.4102103133,85.1451636162,88.5762485381,82.6410624952,145.807258959,7.74504867026,84.1499676814,85.7002573483,103.36335592,101.399217663,78.8668184246,8.08540901367,8.08540901367,65.729513654,8.78793666913,101.399217663,90.8543314679,6.94481598359,50.0753081219,78.5265134415,83.4155737006,9.43356789852,72.5339161518,32.9063702751,70.3543554097,80.2794831302,106.61,4.46415158888,77.0044565461,50.822533822,104.339371077,120.47,85.5797698465,93.3810085691,64.2769217222,86.4459413604,51.7196298655,69.9167498931,78.4721911302,7.56230154976,76.3275053741,8.13401535156,85.3574774949,6.86985293121,106.267287251,75.2645745226,74.76239618,68.1754054544,93.6806825441,99.9594961171
2024-04-16,6.19428734756,10.2958671068,75.5260678801,7.92876275021,78.91,105.241826005,45.6433855418,152.5,8.62300366468,,91.7012101709,80.5048813204,9.05632869386,7.14334245138,103.99,32.3746411932,79.8128160037,36.0979152259,6.51405712407,106.2,50.1200038667,7.54147097996,7.72004492444,9.64537494176,70.5494203848,74.9756941379,25.5911936584,6.58190413182,19.760117124,87.2892241746,147.821703823,111.237937492,117.285202152,83.7685475199,64.2242096042,87.4776296576,8.37661748987,63.7528117939,7.14003487878,86.7038372415,85.8091126761,88.1146133666,82.4717854315,145.061078274,7.69475614643,84.8428994808,85.4962464811,103.433314198,101.085504029,78.2881043151,8.0360575853,8.0360575853,65.729513654,8.77950294872,101.085504029,90.5422704668,6.84205668421,49.1412257252,78.0606064038,83.3904232764,9.40661965957,72.0856224796,32.6425917558,70.3303900337,80.4288866348,106.61,4.43853760436,77.0044565461,50.822533822,103.909854983,120.47,85.6225597314,93.0705217505,64.2769217222,87.1128338685,51.7196298655,69.8520720486,78.2170906766,7.47974367257,76.3939421104,8.10088290613,85.0251430538,6.91210294923,105.987244989,75.1218849088,74.6458920008,67.895928637,93.2102755461,99.8819346493
2024-04-17,6.19428734756,10.2537141196,75.5260678801,7.87654257842,78.91,105.085008715,44.6811510161,152.5,8.57257674266,,91.0056369012,80.2964274589,9.03940097668,7.10122368693,103.99,32.3746411932,79.0955098927,36.1059387679,6.51405712407,106.2,50.1200038667,7.54147097996,7.70311500136,9.60284683355,70.0839670929,74.5084554724,25.5677011306,6.58446319253,19.6565288448,87.5497890229,146.481098581,110.502808842,115.921016588,83.5954720085,64.0912230178,86.500937676,8.33032413356,63.5072038233,7.08046367002,86.6031651518,85.7754950022,88.0651524553,82.310972221,144.856766896,7.67799197182,84.9088929855,85.629638202,102.899882327,100.301219946,78.1349152861,7.93735472857,7.93735472857,65.729513654,8.74576806707,100.301219946,90.2212934371,6.83349340926,50.5168743458,78.4248609969,83.0047834382,9.47146385955,72.362749477,32.6013763622,69.9149901835,79.9391751475,106.61,4.45683330759,77.0044565461,50.822533822,103.843775584,120.47,86.1788282354,92.8859079665,64.2769217222,87.0044638359,51.7196298655,69.366988215,78.2829230517,7.42195315855,76.0700630211,8.10088290613,84.4129480308,6.86985293121,105.864726499,74.7861446411,73.9052582897,67.8789906481,93.0796069355,99.7095758319
2024-04-18,6.19428734756,10.2502013707,75.5260678801,7.90265266431,78.91,104.248649832,45.5178766906,152.5,8.50534084664,,89.7817801356,80.2964274589,9.02247325949,7.16018995717,103.99,32.3746411932,78.8536275994,36.2182683551,6.51405712407,106.2,50.1200038667,7.54147097996,7.69465003982,9.62836369847,69.7265654581,74.3392828521,25.7556413533,6.57507996994,19.6486944371,86.9193901964,145.983920478,110.321188823,116.424983229,82.9118237384,63.7920031982,86.6453182298,8.36256414956,62.7966950512,7.08046367002,87.0561895554,85.7250684913,87.6282477394,82.5818155229,145.638479994,7.67799197182,85.5358312802,85.3785479039,102.305236963,99.6389356097,77.9561947523,7.994931395,7.994931395,65.729513654,8.77106922831,99.6389356097,90.3728659234,6.8591832341,50.3385495246,78.8568838864,83.1640694583,9.3956719375,72.1997335962,32.2386808983,69.6194172131,79.6320679437,106.61,4.39188356111,77.0044565461,50.822533822,103.364699941,120.47,86.1018064425,92.8775164308,64.2769217222,86.5376390803,51.7196298655,69.8116483958,77.6575154882,7.3063721305,75.7378793398,8.05946734935,84.8327389038,6.79380289876,105.488419709,74.7106030808,73.9219017439,67.6842037754,92.6004886967,99.8819346493
2024-04-19,6.19428734756,10.1928261908,75.5260678801,7.90265266431,78.91,105.398643295,46.3964386488,152.5,8.52214982065,,89.7201470611,80.588262865,8.98861782512,7.1264949456,103.99,32.3746411932,79.2539844986,37.0928344275,6.51405712407,106.2,50.1200038667,7.54147097996,7.72850988598,9.61135245519,70.2834470752,74.9193032645,25.8809348351,6.58531621276,19.5546815451,87.4153039399,145.335813308,109.957948785,115.747234987,83.3877813948,64.0496647095,87.0529809699,8.42208417909,62.5423153674,7.10599418806,87.0645788962,85.5149580293,87.570543343,82.5902793761,146.322478955,7.70313823374,85.4698377755,85.5276327684,102.2265339,99.6912212153,77.9987472603,8.05250806142,8.05250806142,65.729513654,8.7626355079,99.6912212153,90.1410491797,6.9105628838,50.5083826877,79.1194860349,83.667077943,9.47988518422,72.3872018591,32.065576245,70.1226901086,79.8478730059,106.61,4.3827357095,77.0044565461,50.822533822,103.719876711,120.47,85.254566721,92.6761195756,64.2769217222,86.9461107415,51.7196298655,70.0137666599,77.3941859878,7.29811634278,76.1448043494,8.08431668342,83.9581745852,6.83605291679,105.409657823,74.0139420253,74.6292485466,67.3769362677,92.4959538082,100.576825924
2024-04-22,6.19428734756,10.1061915883,75.5260678801,7.87654257842,78.91,104.039560112,46.848270513,152.5,8.40448700261,,89.6673187115,80.6299536373,8.95476239075,7.14334245138,103.99,32.3746411932,78.5283376189,37.4538938152,6.51405712407,106.2,50.1200038667,7.54147097996,7.68618507828,9.64537494176,70.1089020907,74.3473386912,25.9200890482,6.58531621276,19.5860191757,87.0706859147,145.433473293,108.94606582,115.634276947,83.2579747612,63.7421332283,86.4754587547,8.40224416925,62.1475882718,7.10599418806,86.5696077886,84.8005824585,87.7601435027,81.9047072681,145.336454479,7.63608153529,85.4698377755,85.5668656275,100.818623553,100.43193396,77.2668441218,7.98670615694,7.98670615694,65.729513654,8.7626355079,100.43193396,89.5704233491,6.876309784,50.134749729,79.4329144057,83.2143703068,9.4032511297,72.3464478889,31.8594992769,69.8191286795,79.623767749,106.61,4.25466578686,77.0044565461,50.822533822,103.670317162,120.47,85.1946608822,92.642553433,64.2769217222,86.9294384288,51.7196298655,69.9329193542,75.3451533125,7.18253531472,76.809171712,8.03461801528,82.6375824641,6.79380289876,105.523424992,74.1902056658,74.1382666483,66.4124577019,92.4175526419,100.733176461
2024-04-23,6.19428734756,10.046961809,75.5260678801,7.86783921645,78.91,104.100544614,46.6558236079,152.5,8.48012738564,,89.3679580638,80.6299536373,8.94629853216,7.19388496873,103.99,32.3746411932,78.7285160684,37.3897054796,6.51405712407,106.2,50.1200038667,7.54147097996,7.68618507828,9.61135245519,70.1421487544,74.0734401631,25.8809348351,6.55119540337,19.4867833452,87.1547390916,145.468986014,108.409854335,115.434428107,82.8166322071,63.5925233185,86.6283322823,8.43200418402,62.787923338,7.14003487878,86.8296773536,84.6324940889,87.5210824317,81.2953098388,144.643572415,7.62769944799,85.9647890607,85.3707013321,100.652472643,100.205363003,76.9859975687,7.97025568082,7.97025568082,65.729513654,8.7626355079,100.205363003,89.4099348342,6.80780358441,50.1517330453,79.0517177385,83.3401224279,9.41672524918,72.3545986829,31.6946377023,69.5235557092,79.1589568458,106.61,4.24460315009,77.0044565461,50.822533822,103.529898439,120.47,85.0919651583,92.7012941825,64.2769217222,86.7543791454,51.7196298655,69.8682415097,75.4932761565,7.1247448007,76.5932523192,8.02633490393,81.8592202205,6.68395285189,105.094610278,73.8208913713,73.9884755606,66.3783168677,92.3391514755,100.594198206
2024-04-24,6.19428734756,9.98507995011,75.5260678801,7.81561904466,78.91,103.908879037,46.6139873241,152.5,8.48012738564,,89.1478399405,80.263074841,8.94629853216,7.16018995717,103.99,32.3746411932,78.5617006938,37.173069847,6.51405712407,106.2,50.1200038667,7.54147097996,7.64386027058,9.61135245519,69.7681237877,73.8720441866,25.6538403993,6.55972560572,19.3553393943,87.1547390916,145.007320633,107.761211409,115.364915466,81.7781791387,63.3182384839,86.9510652849,8.37992415817,61.7967197424,7.11450436074,87.0981362594,84.8005824585,87.4221606093,81.8285325895,144.536975175,7.6444636226,85.6678182896,85.1980767522,100.17150948,100.14436313,76.892382051,7.81397615766,7.81397615766,65.729513654,8.70359946502,100.14436313,89.1602860333,6.71360755997,50.4913993714,78.6620500343,83.4155737006,9.37714502322,72.362749477,31.4555884193,69.4995903332,78.851849642,106.61,4.29949025978,77.0044565461,50.822533822,103.389479716,120.47,86.418451591,92.5922042192,64.2769217222,86.0374696992,51.7196298655,69.771224743,75.6413990005,7.14125637613,76.2278502697,8.02633490393,81.4394293476,6.49805277257,104.718303488,74.022335532,74.1299449212,66.0625141515,91.2938025909,100.672373475
2024-04-25,6.19428734756,10.0867430041,75.5260678801,7.84172913056,78.91,103.813046248,46.2709297976,152.5,8.49693635964,,88.8396745679,79.9879157438,8.97169010794,7.14334245138,103.99,32.3746411932,78.2530922507,37.1891169309,6.51405712407,106.2,50.1200038667,7.54147097996,7.61846538596,9.61985807683,69.6600721307,73.4289730383,25.215313213,6.52560479632,19.339670579,87.5329783875,146.010555019,106.801219879,115.999218308,82.1675990394,62.5868122583,86.2546414371,8.43200418402,61.0335806909,7.14854505146,87.1652509859,84.3383394422,87.4386475797,81.8369964427,145.229857239,7.67799197182,85.5523296563,84.9940658851,99.3844788516,99.9265064402,76.0668633947,7.78930044348,7.78930044348,65.729513654,8.75420178749,99.9265064402,89.008713547,6.65366463533,50.2706162594,78.8992390716,83.5748597208,9.44872628293,71.8818526287,31.3814007107,68.0217254813,78.768847695,106.61,4.30131983011,77.0044565461,50.822533822,103.562938138,120.47,85.3829363758,92.6761195756,64.2769217222,86.1124951064,51.7196298655,69.3508187538,75.2134885623,7.23207004103,75.804316076,8.02633490393,80.6610671041,6.37975272209,104.263234811,73.720169291,73.7305020208,66.2758943652,91.2502463874,100.333613978
2024-04-26,6.19428734756,10.1680734472,75.5260678801,7.76339887287,78.91,104.327058478,46.5219474999,152.5,8.55576776866,,88.9277218172,80.3464563856,8.97169010794,7.1264949456,103.99,32.3746411932,79.6042967854,37.7106471575,6.51405712407,106.2,50.1200038667,7.54147097996,7.60153546288,9.61135245519,69.3525404914,74.0895518412,25.2622982687,6.51707459398,19.3074624586,87.6170315643,145.788600509,107.519051384,116.094798188,82.3320207752,63.1104469425,87.4691366838,8.48325754278,60.7967444336,7.14003487878,87.2407550532,84.5568543226,87.5952737986,81.8454602959,145.194324825,7.71152032104,85.2718572614,84.6723564407,100.110295987,99.5169358635,76.7647245268,7.64947139645,7.64947139645,65.729513654,8.73733434666,99.5169358635,89.7041637781,6.75642393472,50.9499489116,78.6789921084,82.8287304686,9.46472679981,71.9063050108,31.4391022618,68.4850560835,78.436839907,106.61,4.3635252211,77.0044565461,50.822533822,103.249060993,120.47,87.7192640926,92.6005957548,64.2769217222,87.196195432,51.7196298655,69.6337843235,74.5140195767,7.47974367257,75.6382242354,8.04290112664,80.7222866064,6.48960276896,103.353097459,73.7369563044,74.2298056463,66.2758943652,91.2241126653,100.672373475
